Rank,Artist,Album/Single,Year,Format,Genre
1,Joey Beltram,Machines / Fuck All You Mother Fuckers,1991,Single,Techno
2,Mike Ink,Jingle Bells / Trump Tower,1999,Single,Techno
3,Kreem,Triangle of Love,1986,Single,Techno
4,Basic Channel,Phylyps Trak,1993,EP,Techno
5,Carl Craig,Angel Remixes,2009,Single,Techno
6,F.U.S.E.,Substance Abuse / F.U.2 / Confusion,1991,Single,Techno
7,Model 600,Update,2002,Single,Techno
8,Intercity,Groovin' Without Doubt,1987,EP,Techno
9,Ron Trent,Altered States,1992,EP,Techno
10,Rhythim Is Rhythim,Nude Photo / The Dance,1987,Single,Techno
11,Maurizio,M4.5,1995,EP,Techno
12,Model 500,Night Drive (Thru-Babylon) / Time Space Transmat / No UFO's,1985,Single,Techno
13,Plastikman,Spastik,1993,Single,Techno
14,Fix,Flash / Dope Computer,1992,Single,Techno
15,Rhythim Is Rhythim,Strings of Life / Move It / Kaos,1987,Single,Techno
16,A Number of Names,Sharevari,1981,Single,Techno
17,Jeff Mills,Kat Moda EP,1997,EP,Techno
18,DJ Hell,Sprung aus den Wolken / Butter SÃ¤ure,1993,Single,Techno
19,Model 500,Interference / Electronic,1988,Single,Techno
20,Maurizio,M5,1995,EP,Techno
21,Joey Beltram,Energy Flash / Psycho Bass,1990,Single,Techno
22,Model 500,Sound of Stereo / Off to Battle,1987,Single,Techno
23,Reese & Santonio,Truth of Self Evidence,1988,EP,Techno
24,Cybotron,Clear / Industrial Lies,1983,Single,Techno
25,X-101,X-101,1991,EP,Techno
26,Inner City,Big Fun,1988,Single,Techno
27,Second Phase,Mentasm / Mind to Mind,1991,Single,Techno
28,Model 500,No UFO's / Future,1985,Single,Techno
29,Maurizio,Domina,1993,Single,Techno
30,Basic Channel,Phylyps Trak II,1994,EP,Techno
31,Plastikman,Krakpot,1993,Single,Techno
32,Liaz,House Sensation (Magic Juan's Remix),1988,Single,Techno
33,Richie Hawtin,Minus Orange,1999,Single,Techno
34,Kenny Larkin,We Shall Overcome / Rubbernotes,1990,Single,Techno
35,Maurizio,M6,1996,EP,Techno
36,Basic Channel,Q 1.1,1993,EP,Techno
37,Azzido Da Bass,Dooms Night,1999,Single,Techno
38,Jeff Mills,If / Tango,1999,EP,Techno
39,Inner City,Good Life,1988,Single,Techno
40,e-Dancer,Pump the Move / Grab the Beat,1991,Single,Techno
41,Underground Resistance,Sonic EP,1990,EP,Techno
42,The Aztec Mystic a.k.a DJ Rolando,Knights of the Jaguar EP,1999,EP,Techno
43,Basic Channel,Octagon,1994,EP,Techno
44,Mental Mayhem,Where Are They Hiding / Joey's Riot,1990,Single,Techno
45,DJ Rolando a.k.a. The Aztec Mystic,Revenge of the Jaguar: The Mixes,2000,Single,Techno
46,69,4 Jazz Funk Classics,1991,EP,Techno
47,Suburban Knight,Nocturbulous Behavior,1993,Single,Techno
48,K-OS (Chaos) featuring Simianne,Definition of Love,1989,Single,Techno
49,Cyrus,Inversion,1994,EP,Techno
50,Suburban Knight,Dark Journey: Remixes,2004,Single,Techno
51,UR,The Final Frontier,1991,EP,Techno
52,Channel One,It's Channel One,1987,Single,Techno
53,Underground Resistance,Death Star,1992,EP,Techno
54,Magda,Stop,2005,EP,Techno
55,Bizarre Inc,Playing With Knives,1991,Single,Techno
56,R-Tyme,Illusion / R-Theme,1989,Single,Techno
57,The Family Foundation,Express Yourself,1992,Single,Techno
58,Mundo Muzique,Andromeda,1992,EP,Techno
59,Ontoni,Badd Minded,1992,Single,Techno
60,Orson Karte,Metamorphosis,1994,Single,Techno
61,Paperclip People,The Floor,1996,Single,Techno
62,Eon,Inner Mind / Spice (The Remixes),1991,Single,Techno
63,Inner City,Let It Reign,1991,Single,House
64,Mr. Fingers,Washing Machine / Can You Feel It / Beyond the Clouds,1986,Single,House
65,Chip E.,Time to Jack,1986,Single,House
66,Sterling Void,Don't Wanna Go,1991,Single,House
67,Romanthony,Hold On,1999,Single,House
68,Tiefschwarz,Damage,2006,Single,House
69,Binocular,One Expression EP,1996,EP,House
70,Black Magic,Freedom (Make It Funky),1995,Single,House
71,Touch [house],Without You,1987,Single,House
72,Thomas Bangalter,Outrun,2003,Single,House
73,Insight Featuring Ashaye,Fantasy,1992,Single,House
74,The Reese Project,The Colour of Love,1992,Single,House
75,Marshall Jefferson & On the House,Move Your Body - House Music Anthem,1986,Single,House
76,Erick Morillo,Jazz It Up,1996,Single,House
77,Moodymann,Don't You Want My Love / Me and My Peoples Eyes,2000,Single,House
78,Round Four,Find a Way,1998,Single,House
79,Cerrone,Je suis Music,2004,Single,House
80,Paul Johnson,White Winds / Santa Claus (Remix),1998,Single,House
81,The Eternals,Wrath of Zeus,2000,Single,House
82,Delta Lady,Anything You Want,1993,Single,House
83,Muttonheads,Smashing Music,2004,Single,House
84,Revoked,Pieces,1988,Single,House
85,Alan Braxe & Fred Falke,Intro,2000,Single,House
86,Alden Tyrell,Love Explosion,1999,Single,House
87,Maurice,This Is Acid (A New Dance Craze),1988,Single,House
88,Ce Ce Rogers,Someday,1987,Single,House
89,Together,So Much Love to Give,2002,Single,House
90,The Reese Project,I Believe,1992,Single,House
91,Archigram,Carnaval,2002,Single,House
92,Static,Touch Me Baby / The Native Dance,1991,Single,House
93,Mr. Lee,Acid Fantaslee,1988,EP,House
94,Circle Children,Zulu,1994,Single,House
95,Da Mongoloids,Spark da Meth,1996,Single,House
96,Phuture,Acid Tracks / Phuture Jacks / Your Only Friend,1987,Single,House
97,Le Knight Club vs DJ Sneak,Intergalactik Disko,1998,Single,House
98,Divine Soul,Shake That Ass!!,1998,Single,House
99,Fantom,Faithfull,1997,Single,House
100,DJ Pierre,Love Trax,1992,Single,House
101,Robert Owens,Bring Down the Walls,1986,Single,House
102,The Underground Solution,Luv Dancin' / Deep in My Mind / Afterthought,1990,Single,House
103,The Endless Poker's,The Poke,1987,Single,House
104,Archigram,Mad Joe,2001,Single,House
105,On the House,Give Me Back the Love,1987,Single,House
106,Lil' Mo' Yin Yang,Reach,1995,Single,House
107,Black Strobe / Zongamin,Italian Fireflies / Hotel 17,2004,Single,House
108,The Untouchables,"Go Bah! (Los Africanos) / ""Little"" Louie Anthem Part II",1993,Single,House
